Product Name,Specifications,Price,MRP,Image URL
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","['HD Ready 1366 x 768 Pixels', '1 Year Manufacturer Warranty from the Date of Purchase']","₹5,799","₹10,999",https://rukminim1.flixcart.com/image/312/312/l4ssfww0/television/8/1/x/-original-imagfm4bjkgbzxky.jpeg?q=70
"Acer I Series 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Android 11, 30W Dolby Audio, ME...","['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '2 Years Warranty']","₹23,999","₹34,990",https://rukminim1.flixcart.com/image/312/312/xif0q/television/c/4/u/-original-imagkcdag59gr4dj.jpeg?q=70
Vu 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"['Operating System: Google TV', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Warranty']","₹22,999","₹30,000",https://rukminim1.flixcart.com/image/312/312/xif0q/television/s/e/t/-original-imagzyzhzu6vhywz.jpeg?q=70
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","['Operating System: Android Based', 'HD Ready 1366 x 768 Pixels', '1 Year Manufacturer Warranty from the Date of Purchase from Dyanora']","₹6,749","₹12,499",https://rukminim1.flixcart.com/image/312/312/xif0q/television/x/z/o/-original-imagny7tjrc6zhke.jpeg?q=70
MarQ by Flipkart by Flipkart 80 cm (32 inch) HD Ready LED TV,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty']","₹7,399","₹17,000",https://rukminim1.flixcart.com/image/312/312/xif0q/television/q/d/t/-original-imagpuzagzkegkcr.jpeg?q=70
realme 80 cm (32 inch) Full HD LED Smart Android TV,"['Operating System: Android', 'Full HD 1080 x 1920 Pixels', '1 Year Warranty on TV and 2 Years Warranty on the Display Panel']","₹13,499","₹23,999",https://rukminim1.flixcart.com/image/312/312/kq6yefk0/television/e/e/g/rmv2003-realme-original-imag49agdvvhpejg.jpeg?q=70
OnePlus U1S 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Far field and Dolby Audio,"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 year warranty on product and 1 year warranty on panel']","₹40,999","₹59,999",https://rukminim1.flixcart.com/image/312/312/kuwzssw0/television/b/1/v/u-series-55-u1s-55uc1a00-oneplus-original-imag7xtnzgaaxqrg.jpeg?q=70
Sansui 80 cm (32 inch) HD Ready LED Smart Google TV,"['Operating System: Google TV', 'HD Ready 1366 x 768 Pixels', '1 Year Comprehensive Warranty on Product']","₹12,490","₹21,490",https://rukminim1.flixcart.com/image/312/312/xif0q/television/e/s/m/-original-imagrfdkyxzkapm3.jpeg?q=70
Sansui 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio and DTS (Mystique Black),"['Operating System: Android', 'Ultra HD (4K) 3840 x 2160 Pixels', '1 Year Comprehensive Warranty on Product and Additional 1 Year Warranty on Panel']","₹27,990","₹45,190",https://rukminim1.flixcart.com/image/312/312/xif0q/television/r/r/h/-original-imagn3yhkfp4xczz.jpeg?q=70
BeethoSOL 80 cm (32 inch) HD Ready LED TV,"['HD Ready 1366 x 768 Pixels', '1 Year Warranty']","₹7,199","₹17,000",https://rukminim1.flixcart.com/image/312/312/xif0q/television/v/e/m/-original-imaghy7kt67kxvhq.jpeg?q=70
