Product Name,Specifications,Price,MRP,Image URL,Rating
CARRIER Convertible 4-in-1 Cooling 2023 Model 1 Ton 3 Star Split AI Flexicool Inverter Dual Filtration...,"['Power Consumption: 1055 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹30,990","₹56,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/y/t/n/-original-imagzgf7gc9bzhhg.jpeg?q=70,4
Panasonic Convertible 7-in-1 with Additional AI Mode Cooling 2023 Model 2 Ton 4 Star Split Inverter wi...,"['Power Consumption: 1075.57 kWh', 'Room Size: 151 to 200 sqft', '1 Year Comprehensive Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹54,990","₹77,150",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/e/b/m/-original-imagmxwtsdhjmcuw.jpeg?q=70,4.2
"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 2 Ton 3 Star Split Inverter Smart Ready, 7 Stage A...","['Power Consumption: 1206.5 W', 'Room Size: 151 to 200 sqft', '1 Year Warranty on Product, 4 Years Super Warranty (T&C Apply), 5 Years Warranty on ODU PCB and 10 Years Warranty on Compressor from IFB']","₹48,490","₹63,490",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/n/m/2/-original-imagz52zhymaapj7.jpeg?q=70,4.2
CARRIER Flexicool Convertible 4-in-1 Cooling 2 Ton 3 Star Split Inverter Dual Filtration with HD and P...,"['Power Consumption: 2010 W', 'Room Size: 151 to 200 sqft', '1 Year warranty on Product, 5 (1+4) Years on PCB and 10 (1+9) Years on Compressor']","₹44,999","₹78,890",https://rukminim1.flixcart.com/image/312/312/l01blow0/air-conditioner-new/4/2/p/-original-imagbwxsqmeudfzg.jpeg?q=70,4.2
"LG Super Convertible 5-in-1 Cooling 2023 Model 1 Ton 3 Star Split Dual Inverter 2 Way Swing, HD Filter...","['Power Consumption: 642.26 kWh', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor with Gas Charging']","₹32,990","₹57,990",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/9/v/m/-original-imagmnmtvz83h39z.jpeg?q=70,4
"IFB FastCool Convertible 8-in-1 Cooling, 2023 Model 1.6 Ton 3 Star Split Inverter Smart Ready, 7 Stage...","['Power Consumption: 1083.54 W', 'Room Size: 151 to 200 sqft', '1 Year Warranty on Product, 4 Years Super Warranty (T&C Apply), 5 Years Warranty on ODU PCB and 10 Years Warranty on Compressor from IFB']","₹40,490","₹53,490",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/n/m/2/-original-imagz52zhymaapj7.jpeg?q=70,4.2
Blue Star 1.3 Ton 3 Star Split Inverter AC  - White,"['Power Consumption: 865.48 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 5 Years Warranty on PCB and 10 Years Warranty on Compressor']","₹33,990","₹57,500",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/w/i/x/-original-imagq54j45sxhsmw.jpeg?q=70,4.2
TOSHIBA 1 Ton 3 Star Split Inverter AC  - White,"['Power Consumption: 1200 W', 'Room Size: 90 sqft or Below', '1 Year on product, 5 year on Compressor']","₹26,618","₹43,600",https://rukminim1.flixcart.com/image/312/312/k6qsn0w0/air-conditioner-new/k/u/m/ras-13qkcv3g-inz-ras-13qacv3g-inz-1-split-inverter-toshiba-original-imafp4sypvkxjhwk.jpeg?q=70,4.8
Hitachi Iconic wave design 2023 Model 1.5 Ton 3 Star Split Soft dry Silent Air Ambience Light R 32 AC ...,"['Power Consumption: 1039.62 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product and  5 Years Warranty on Compressor']","₹37,890","₹56,300",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/4/n/a/-original-imaghaxhgcbpwtwb.jpeg?q=70,4.1
realme TechLife 2023 Range 1 Ton 4 Star Split Inverter 4-in-1 Convertible with Flexi-Control Technolog...,"['Power Consumption: 965 W', 'Room Size: 90 sqft or Below', '1 Year Warranty on Product and 10 Years Warranty on Compressor']","₹28,499","₹48,999",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/u/z/l/-original-imagnxf2ucxgppuz.jpeg?q=70,4.1
SAMSUNG Convertible 5-in-1 Cooling Mode 1 Ton 4 Star Split Inverter Anti Bacteria Filter AC  - White,"['Power Consumption: 960 W', 'Room Size: 90 sqft or Below', '1 Year Standard Warranty on Product, 10 Years Warranty on Compressor']","₹31,999","₹50,990",https://rukminim1.flixcart.com/image/312/312/l44hyfk0/air-conditioner-new/v/f/m/-original-imagf3hfy33a6hkp.jpeg?q=70,4
"Blue Star Convertible 5 in 1 Cooling 2023 Model 1.5 Ton 5 Star Split Inverter Multi Sensors, Stabalize...","['Power Consumption: 770.98 W', 'Room Size: 111 to 150 sqft', '1 Year Warranty on Product, 10 Years Warranty on Compressor and 5 Years Warranty on PCB (Excluding Remote Handset)']","₹43,980","₹73,000",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/w/i/x/-original-imagq54j45sxhsmw.jpeg?q=70,4.2
Whirlpool Convertible 5-in-1 Cooling 2023 Model 2 Ton 3 Star Split Inverter 6th Sense Technology AC  -...,"['Power Consumption: 1209.98 W', 'Room Size: 151 to 200 sqft', '1 Year Warranty on Product and 5 Years Warranty on Compressor']","₹42,890","₹78,200",https://rukminim1.flixcart.com/image/312/312/xif0q/air-conditioner-new/v/w/k/-original-imagm6tzjhze5gnj.jpeg?q=70,3.9
