Product Name,Specifications,Price,MRP,Image URL,Rating
"MOTOROLA G32 (Mineral Gray, 128 GB)","['8 GB RAM | 128 GB ROM', '16.51 cm (6.5 inch) Full HD+ Display', '50MP + 8MP + 2MP | 16MP Front Camera', '5000 mAh Lithium Polymer Battery', 'Qualcomm Snapdragon 680 Processor', '1 Year on Handset and 6 Months on Accessories']","₹11,999","₹18,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/m/j/j/-original-imagnvvwvzyhfvx9.jpeg?q=70,4.1
"MOTOROLA g13 (Lavender Blue, 128 GB)","['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor', '1 Year on Handset and 6 Months on Accessories']","₹9,999","₹13,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70,3.9
"MOTOROLA g13 (Lavender Blue, 128 GB)","['4 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) HD+ Display', '50MP + 2MP + 2MP | 8MP Front Camera', '5000 mAh Battery', 'Helio G85 Processor', '1 Year on Handset and 6 Months on Accessories']","₹9,999","₹13,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/d/h/f/g13-pawv0028in-motorola-original-imagz4rbawxkbyjg.jpeg?q=70,3.9
"POCO C55 (Forest Green, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '17.04 cm (6.71 inch) HD+ Display', '50MP Dual Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Mediatek Helio G85 Processor', '1 Year Manufacturer Warranty for Phone and 6 Months Warranty for In the Box Accessories']","₹7,749","₹11,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/a/6/f/-original-imagnb6nvnqz7hqq.jpeg?q=70,4.2
"MOTOROLA e13 (Cosmic Black, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) HD+ Display', '13MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor', '1 Year on Handset and 6 Months on Accessories']","₹7,299","₹10,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/p/o/z/-original-imagmmmhjsjru7c2.jpeg?q=70,4
"Infinix SMART 7 (Azure Blue, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '16.76 cm (6.6 inch) HD+ Display', '13MP + AI Lens | 5MP Front Camera', '6000 mAh Battery', 'Unisoc Spreadtrum SC9863A1 Processor', '1 Year on Handset and 6 Months on Accessories']","₹7,299","₹9,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/u/c/u/-original-imagnanh2yvpc4zx.jpeg?q=70,4.3
"Infinix SMART 7 (Emerald Green, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 2 TB', '16.76 cm (6.6 inch) HD+ Display', '13MP + AI Lens | 5MP Front Camera', '6000 mAh Battery', 'Unisoc Spreadtrum SC9863A1 Processor', '1 Year on Handset and 6 Months on Accessories']","₹7,299","₹9,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/2/n/m/-original-imagna3rjqn8vqxb.jpeg?q=70,4.3
"MOTOROLA e13 (Creamy White, 64 GB)","['4 GB RAM | 64 GB ROM | Expandable Upto 1 TB', '16.51 cm (6.5 inch) HD+ Display', '13MP Rear Camera | 5MP Front Camera', '5000 mAh Battery', 'Unisoc T606 Processor', '1 Year on Handset and 6 Months on Accessories']","₹7,299","₹10,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/8/u/c/-original-imagmmmh6ezhc2wu.jpeg?q=70,4
"Infinix HOT 30i (Glacier Blue, 128 GB)","['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']","₹8,999","₹11,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/w/v/b/-original-imagz3cuzzsyh8ud.jpeg?q=70,4.3
"Infinix HOT 30i (Mirror Black, 128 GB)","['8 GB RAM | 128 GB ROM | Expandable Upto 1 TB', '16.76 cm (6.6 inch) HD+ Display', '50MP + AI Lens | 5MP Front Camera', '5000 mAh Battery', 'G37 Processor', '1 Year on Handset and 6 Months on Accessories']","₹8,999","₹11,999",https://rukminim1.flixcart.com/image/312/312/xif0q/mobile/4/q/v/-original-imagz3curry7jhsy.jpeg?q=70,4.3
